epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3504,1.35519,1.32877,1.31023,1,0.85037,0.94462,0.6264,1.22066,0.83044,1.15178,0.000329412,0.000329412,0.0673882
2,68.1059,1.27759,0.90992,1.20702,0.90316,0.79167,0.90015,0.54705,1.38161,1.07192,1.20329,0.000662633,0.000662633,0.0343881
3,102.064,1.312,1.04041,1.26622,0.85701,0.83333,0.87755,0.51493,1.39411,1.53533,1.22195,0.000995403,0.000995403,0.00138756
4,136.396,1.3514,0.95375,1.25336,0.93525,0.91667,0.96304,0.56214,1.39112,1.06988,1.22452,0.000998474,0.000998474,0.000998474
5,170.764,1.27951,0.92363,1.20203,0.87701,0.85417,0.89462,0.57747,1.20475,1.67708,1.09412,0.000997288,0.000997288,0.000997288
6,205.531,1.27601,0.92721,1.20094,0.9973,0.9375,0.98425,0.65564,1.12886,0.701,1.08382,0.000995765,0.000995765,0.000995765
7,240.472,1.33732,0.90917,1.23758,0.99286,0.9375,0.97925,0.64119,1.16156,0.8615,1.06242,0.000993906,0.000993906,0.000993906
8,275.359,1.29781,0.86734,1.25912,0.95552,0.89504,0.95061,0.5644,1.32208,0.89056,1.1734,0.000991711,0.000991711,0.000991711
9,310.437,1.26545,0.84812,1.23853,0.95731,0.93444,0.98651,0.66958,1.13419,0.66697,1.09346,0.000989183,0.000989183,0.000989183
10,345.626,1.21491,0.81276,1.18269,0.9135,0.91667,0.93979,0.62708,1.13441,0.87668,1.05801,0.000986323,0.000986323,0.000986323
11,380.757,1.17138,0.80397,1.14935,0.93837,0.95172,0.97572,0.61431,1.35329,0.70168,1.14574,0.000983133,0.000983133,0.000983133
12,415.92,1.15556,0.74362,1.14895,0.9351,0.97917,0.98723,0.68346,1.15914,0.63788,1.06055,0.000979616,0.000979616,0.000979616
13,451.342,1.18226,0.74796,1.14839,0.9974,0.91667,0.97984,0.68542,1.06344,0.63711,1.04084,0.000975773,0.000975773,0.000975773
14,486.895,1.18147,0.74005,1.15654,0.93764,0.93984,0.97983,0.64268,1.21567,0.66798,1.06371,0.000971608,0.000971608,0.000971608
15,522.345,1.19943,0.72683,1.18514,0.89867,0.97917,0.97983,0.64528,1.18084,0.6495,1.0614,0.000967122,0.000967122,0.000967122
16,557.704,1.2381,0.75578,1.19937,0.96814,0.91667,0.97654,0.65971,1.16943,0.71548,1.06568,0.00096232,0.00096232,0.00096232
17,592.85,1.14952,0.71202,1.17476,1,0.998,0.995,0.6688,1.23884,0.63062,1.10787,0.000957205,0.000957205,0.000957205
18,628.062,1.15489,0.70166,1.16901,0.98793,0.97917,0.99346,0.69856,1.08131,0.59554,1.06305,0.00095178,0.00095178,0.00095178
19,663.714,1.15559,0.69603,1.17057,0.99726,0.97917,0.99311,0.64969,1.196,0.54854,1.09797,0.000946048,0.000946048,0.000946048
20,699.163,1.13752,0.67266,1.13177,1,0.99879,0.995,0.69406,1.04207,0.55422,0.99799,0.000940014,0.000940014,0.000940014
21,734.597,1.11289,0.67771,1.14231,0.91998,0.95804,0.98552,0.69788,1.04539,0.61586,1.02055,0.000933683,0.000933683,0.000933683
22,769.905,1.12017,0.65352,1.13736,0.94321,0.97917,0.97432,0.68116,1.06916,0.68767,1.02659,0.000927057,0.000927057,0.000927057
23,805.455,1.16019,0.70787,1.13048,0.97663,0.97917,0.98147,0.71,1.06069,0.5633,1.03267,0.000920142,0.000920142,0.000920142
24,841.022,1.088,0.65993,1.11342,0.97911,0.97656,0.99378,0.64074,1.20533,0.63748,1.10178,0.000912942,0.000912942,0.000912942
