epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.4532,3.57038,4.15934,3.6773,0,0,0,0,3.10847,4.32548,3.27223,0.000488372,0.000488372,0.0679302
2,119.694,3.54053,3.65247,3.31434,0,0,0,0,3.13576,4.75078,3.23126,0.000987995,0.000987995,0.0350965
3,158.864,3.25095,3.30394,3.13627,0,0,0,0,3.16647,5.04719,3.23359,0.0014861,0.0014861,0.00226129
4,201.93,3.13744,2.91467,2.97043,0.14861,0.125,0.07183,0.02212,3.17104,5.90697,3.18326,0.00149485,0.00149485,0.00149485
5,250.213,2.99571,2.60839,2.85702,0.01002,0.0625,0.00204,0.00058,3.43442,7.92084,6.87356,0.00149086,0.00149086,0.00149086
6,284.953,2.81086,2.39001,2.74978,0.04213,0.02083,0.00138,0.00027,3.73656,5.79655,8.76016,0.00148573,0.00148573,0.00148573
7,341.677,2.57227,2.22588,2.61398,0.17357,0.1875,0.07914,0.02125,3.34815,4.77575,3.7161,0.00147948,0.00147948,0.00147948
8,395.446,2.43909,2.06679,2.52418,0.40113,0.35417,0.2706,0.10185,2.5637,2.81502,2.9474,0.00147212,0.00147212,0.00147212
9,440.428,2.24307,1.81998,2.36071,0.46453,0.52083,0.39794,0.16912,2.26486,1.96122,2.59506,0.00146366,0.00146366,0.00146366
10,479.785,2.20306,1.80704,2.35095,0.48726,0.35417,0.34242,0.124,2.45926,2.49962,2.74275,0.00145411,0.00145411,0.00145411
11,523.273,2.08505,1.69674,2.22392,0.76561,0.625,0.64972,0.29181,1.90098,1.64342,2.23037,0.00144348,0.00144348,0.00144348
12,576.179,2.02998,1.60408,2.21337,0.57906,0.54167,0.64005,0.3344,1.83951,1.61088,2.22639,0.0014318,0.0014318,0.0014318
13,622.984,1.99179,1.4768,2.11547,0.55313,0.54167,0.50936,0.2802,1.79279,1.99695,2.1788,0.00141907,0.00141907,0.00141907
14,683.473,1.93035,1.47886,2.09106,0.80792,0.75,0.81604,0.44359,1.71978,1.30895,2.00385,0.00140533,0.00140533,0.00140533
15,721.261,1.94939,1.44254,2.08697,0.69724,0.86369,0.83326,0.44546,1.67321,1.49105,2.01364,0.00139059,0.00139059,0.00139059
16,797.337,1.89726,1.44394,2.08206,0.6429,0.70833,0.73416,0.30461,1.84151,1.5503,2.10819,0.00137487,0.00137487,0.00137487
17,877.572,1.89615,1.40141,2.05423,0.83853,0.625,0.75974,0.4326,1.59338,1.46922,1.88638,0.0013582,0.0013582,0.0013582
18,943.237,1.87163,1.34469,1.98989,0.81096,0.80446,0.8748,0.46533,1.64441,1.23462,1.85863,0.0013406,0.0013406,0.0013406
19,995.758,1.82759,1.34207,1.96879,0.88213,0.70833,0.83096,0.44769,1.69163,1.92523,1.96912,0.0013221,0.0013221,0.0013221
20,1071.82,1.75976,1.34211,1.91234,0.88567,0.64555,0.78687,0.44417,1.6482,1.34083,1.8789,0.00130273,0.00130273,0.00130273
21,1122.88,1.65538,1.18566,1.85248,0.85284,0.85417,0.84191,0.39993,1.64935,1.21557,1.82546,0.00128253,0.00128253,0.00128253
22,1188.33,1.68209,1.2174,1.82075,0.97367,0.77038,0.91067,0.47122,1.62987,1.30781,1.81601,0.00126151,0.00126151,0.00126151
23,1252.1,1.6828,1.17752,1.85481,0.94174,0.67364,0.84487,0.48595,1.49064,1.23804,1.75202,0.00123972,0.00123972,0.00123972
24,1303.37,1.68263,1.17641,1.85216,0.85554,0.77083,0.85496,0.42383,1.65174,1.31652,1.85202,0.00121718,0.00121718,0.00121718
25,1382.85,1.62651,1.12972,1.80539,0.76196,0.867,0.8277,0.44323,1.53094,1.2628,1.68724,0.00119393,0.00119393,0.00119393
26,1443.4,1.62219,1.09684,1.75336,0.80411,0.85417,0.85565,0.39405,1.69366,1.12809,1.79774,0.00117001,0.00117001,0.00117001
27,1506.36,1.63039,1.07468,1.75437,0.92938,0.82262,0.91185,0.50553,1.47651,1.0344,1.68388,0.00114546,0.00114546,0.00114546
28,1572.53,1.57636,1.06746,1.74276,0.95132,0.81439,0.92399,0.54365,1.46661,1.00951,1.66771,0.0011203,0.0011203,0.0011203
